structure_id,pdb_id,kinase_name,kinase_family,kinase_group,species,conformational_state,dfg_state,alphac_state,ligand_present,resolution,filepath,exclusion_reason,sequence_length
12867,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12860,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12907,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12910,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
12865,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,conflicting_state,
3113,3og7,BRAF,RAF,TKL,Human,inactive,in,out,1,2.45,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3og7.pdb,conflicting_state,
3118,4fk3,BRAF,RAF,TKL,Human,inactive,in,out,1,2.65,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4fk3.pdb,conflicting_state,
3110,4h58,BRAF,RAF,TKL,Human,active,in,in,1,3.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4h58.pdb,conflicting_state,
3137,4h58,BRAF,RAF,TKL,Human,active,in,in,1,3.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4h58.pdb,conflicting_state,
6214,4xv1,BRAF,RAF,TKL,Human,inactive,in,out,1,2.47,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4xv1.pdb,conflicting_state,
6217,4xv3,BRAF,RAF,TKL,Human,inactive,in,out,1,2.8,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4xv3.pdb,conflicting_state,
3140,3og7,BRAF,RAF,TKL,Human,active,in,in,0,2.45,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3og7.pdb,conflicting_state,
6218,4xv3,BRAF,RAF,TKL,Human,active,in,in,0,2.8,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4xv3.pdb,conflicting_state,
6216,4xv1,BRAF,RAF,TKL,Human,active,in,in,0,2.47,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4xv1.pdb,conflicting_state,
3056,4h58,BRAF,RAF,TKL,Human,inactive,out,in,0,3.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4h58.pdb,conflicting_state,
3068,4fk3,BRAF,RAF,TKL,Human,active,in,in,0,2.65,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4fk3.pdb,conflicting_state,
3120,4h58,BRAF,RAF,TKL,Human,active,in,in,0,3.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4h58.pdb,conflicting_state,
3097,4h58,BRAF,RAF,TKL,Human,active,in,in,0,3.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4h58.pdb,conflicting_state,
3114,4h58,BRAF,RAF,TKL,Human,inactive,out,in,0,3.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4h58.pdb,conflicting_state,
802,3ika,EGFR,EGFR,TK,Human,active,in,in,1,2.9,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3ika.pdb,conflicting_state,
809,4g5p,EGFR,EGFR,TK,Human,active,in,in,1,3.17,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4g5p.pdb,conflicting_state,
855,3ika,EGFR,EGFR,TK,Human,active,in,in,1,2.9,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3ika.pdb,conflicting_state,
858,2jiu,EGFR,EGFR,TK,Human,active,in,in,1,3.05,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2jiu.pdb,conflicting_state,
6594,4wd5,EGFR,EGFR,TK,Human,active,in,in,1,3.3,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4wd5.pdb,conflicting_state,
8553,5xgn,EGFR,EGFR,TK,Human,active,in,in,1,3.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/5xgn.pdb,conflicting_state,
805,2jit,EGFR,EGFR,TK,Human,inactive,out-like,out,0,3.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2jit.pdb,conflicting_state,
6593,4wd5,EGFR,EGFR,TK,Human,inactive,out-like,out,0,3.3,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4wd5.pdb,conflicting_state,
8554,5xgn,EGFR,EGFR,TK,Human,inactive,out-like,out,0,3.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/5xgn.pdb,conflicting_state,
868,3ika,EGFR,EGFR,TK,Human,inactive,out-like,out,0,2.9,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3ika.pdb,conflicting_state,
863,3ika,EGFR,EGFR,TK,Human,inactive,out-like,out,0,2.9,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3ika.pdb,conflicting_state,
788,4g5p,EGFR,EGFR,TK,Human,inactive,out-like,out,0,3.17,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4g5p.pdb,conflicting_state,
888,2jit,EGFR,EGFR,TK,Human,active,in,in,0,3.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2jit.pdb,conflicting_state,
895,2jiu,EGFR,EGFR,TK,Human,inactive,out-like,out,0,3.05,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2jiu.pdb,conflicting_state,
9323,3rcd,ERBB2,EGFR,TK,Human,inactive,in,out,1,3.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3rcd.pdb,conflicting_state,
9325,3rcd,ERBB2,EGFR,TK,Human,inactive,in,out,1,3.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3rcd.pdb,conflicting_state,
9322,3rcd,ERBB2,EGFR,TK,Human,active,in,in,0,3.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3rcd.pdb,conflicting_state,
9324,3rcd,ERBB2,EGFR,TK,Human,active,in,in,0,3.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3rcd.pdb,conflicting_state,
3524,4v04,FGFR1,FGFR,TK,Human,inactive,out,in,1,2.12,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4v04.pdb,conflicting_state,
3542,4v04,FGFR1,FGFR,TK,Human,inactive,out,in,1,2.12,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4v04.pdb,conflicting_state,
3496,4v04,FGFR1,FGFR,TK,Human,active,in,in,0,2.12,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4v04.pdb,conflicting_state,
3571,4v04,FGFR1,FGFR,TK,Human,active,in,in,0,2.12,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4v04.pdb,conflicting_state,
13964,7myn,PIK3CA,PIK,Atypical,Human,inactive,out-like,in,0,2.79,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/7myn.pdb,conflicting_state,
13963,7myn,PIK3CA,PIK,Atypical,Human,active,in,in,0,2.79,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/7myn.pdb,conflicting_state,
