kinase,rank,neighbor,cosine_similarity
FGFR1,9,PIK3CA,0.9165285229682922
FGFR1,10,ALK,0.8571519255638123
FGFR1,11,EGFR,0.7503483891487122
FGFR1,12,ERBB2,0.6816974878311157
KIT,1,PDGFRA,0.9962592720985413
KIT,2,MET,0.9895585775375366
KIT,3,FGFR1,0.9885207414627075
KIT,4,ABL1,0.9874648451805115
KIT,5,CDK6,0.9633914232254028
KIT,6,CDK4,0.9564687609672546
KIT,7,PIK3CA,0.939235270023346
KIT,8,BRAF,0.9266977310180664
KIT,9,AKT1,0.9111891388893127
KIT,10,ALK,0.8165504932403564
KIT,11,EGFR,0.7009202241897583
KIT,12,ERBB2,0.6220384240150452
MET,1,PDGFRA,0.990239143371582
MET,2,KIT,0.9895585775375366
MET,3,ABL1,0.9877548217773438
MET,4,FGFR1,0.9867788553237915
MET,5,CDK6,0.957948625087738
MET,6,CDK4,0.9531574249267578
MET,7,BRAF,0.9374439716339111
MET,8,PIK3CA,0.9293043613433838
MET,9,AKT1,0.918244481086731
MET,10,ALK,0.8399111032485962
MET,11,EGFR,0.7250959873199463
MET,12,ERBB2,0.6530125141143799
PDGFRA,1,KIT,0.9962592720985413
PDGFRA,2,MET,0.990239143371582
PDGFRA,3,FGFR1,0.9869198799133301
PDGFRA,4,ABL1,0.9853335618972778
PDGFRA,5,CDK6,0.9573447704315186
PDGFRA,6,CDK4,0.9508094191551208
PDGFRA,7,PIK3CA,0.9359829425811768
PDGFRA,8,BRAF,0.9284981489181519
PDGFRA,9,AKT1,0.911280632019043
PDGFRA,10,ALK,0.8314864039421082
PDGFRA,11,EGFR,0.7166934609413147
PDGFRA,12,ERBB2,0.6399388313293457
PIK3CA,1,CDK6,0.9421298503875732
PIK3CA,2,KIT,0.939235270023346
PIK3CA,3,PDGFRA,0.9359829425811768
PIK3CA,4,CDK4,0.9357136487960815
PIK3CA,5,MET,0.9293043613433838
PIK3CA,6,ABL1,0.9183651804924011
PIK3CA,7,FGFR1,0.9165285229682922
PIK3CA,8,AKT1,0.8678009510040283
PIK3CA,9,BRAF,0.8636021018028259
PIK3CA,10,ALK,0.7343824505805969
PIK3CA,11,EGFR,0.6099861860275269
PIK3CA,12,ERBB2,0.5203226804733276
