pdb_id,kinase,state,split,pca1,pca2,tsne1,tsne2
2gs7,EGFR,inactive,train,0.059033222,-1.4242543,-0.15301137,-14.611698
2hiw,ABL1,inactive,train,-1.8862005,1.650287,-0.11880234,15.239015
2hyy,ABL1,inactive,train,-0.990576,1.4324201,-8.647169,14.789173
2hz0,ABL1,inactive,train,-1.072938,1.1532502,7.601204,6.6767774
2hz4,ABL1,active,train,-0.035048928,0.23586155,-14.735081,20.939945
2hzi,ABL1,inactive,train,0.7783892,1.0867326,-10.369629,16.711922
2itn,EGFR,active,train,-0.06960823,-1.6961439,2.4190035,-26.90114
2ito,EGFR,active,train,0.20803767,-1.6774989,1.698498,-25.362822
2itp,EGFR,active,train,0.5518049,-1.8863513,-6.426324,-26.404009
2itq,EGFR,active,train,0.55587906,-1.8738631,-4.261032,-26.522142
2itt,EGFR,active,train,0.04044812,-1.6488059,2.279353,-25.984709
2itu,EGFR,active,train,-0.1395562,-1.5406053,4.0057564,-26.972063
2itv,EGFR,active,train,0.07440981,-1.6049777,2.4388592,-26.42181
2itw,EGFR,active,train,0.25515687,-1.884877,-3.9641118,-30.029718
2itx,EGFR,active,train,-0.098912306,-1.6664385,2.9211023,-27.300747
2ity,EGFR,active,train,-0.11671968,-1.5374833,-1.579561,-15.26529
2itz,EGFR,active,train,-0.04745296,-1.5708488,6.4618444,-24.465628
2j5e,EGFR,active,train,0.2837019,-1.9739248,-5.048181,-27.417465
2j5f,EGFR,active,train,0.004307476,-1.6738731,1.9975464,-25.487585
2j6m,EGFR,active,train,0.60227907,-1.8931485,-6.439029,-27.33925
2jiv,EGFR,inactive,train,-0.2749616,-1.3608546,11.125959,-14.6577425
2rf9,EGFR,inactive,train,1.2032344,-1.7963859,-11.125702,-26.932175
2rfd,EGFR,inactive,train,0.15155938,-1.3590323,8.3321495,-20.416576
2rfe,EGFR,inactive,train,0.91729355,0.59914696,-14.932199,13.47453
2rgp,EGFR,inactive,train,0.5818295,1.9593387,-6.57836,8.342175
2v7a,ABL1,active,train,1.0316558,1.2001094,-17.990158,23.803726
2w96,CDK4,inactive,train,-0.9459744,0.61707777,-10.800035,21.61555
2w99,CDK4,inactive,train,-0.14281154,0.700743,-12.1124,20.824364
2w9f,CDK4,inactive,train,0.049511667,0.64718187,-15.667125,26.74655
2w9z,CDK4,inactive,train,-0.60215145,0.6663606,-13.790002,26.845518
2xb7,ALK,active,train,-1.1292803,0.9136023,-19.039635,12.997754
2xba,ALK,active,train,-0.90712464,-0.7842678,-10.668597,12.218852
2xp2,ALK,active,train,-0.16337547,0.79395044,-17.376888,11.833801
2yfx,ALK,active,train,-0.4802235,0.93984956,-21.50055,14.635072
2yhv,ALK,active,train,-0.5699034,0.6163488,-18.596035,11.778946
2yjr,ALK,active,train,-0.6776716,2.4804251,11.321301,9.565834
2yjs,ALK,active,train,-0.7891956,-0.28682637,-23.530325,13.928018
3aox,ALK,active,train,-0.57445896,-0.014148267,-10.598455,12.477598
3bel,EGFR,inactive,train,0.7115246,1.9287239,-6.1721783,8.621749
3c4c,BRAF,inactive,train,-0.17129841,0.9772812,11.979532,6.929617
3c4f,FGFR1,active,train,-0.6525995,1.0411025,-10.466232,23.135544
3cs9,ABL1,inactive,train,-1.2173638,2.7752633,9.279328,9.015912
3d4q,BRAF,active,train,1.2579604,-0.7485132,-16.31685,-5.8268027
3g33,CDK4,inactive,train,-0.96733755,0.59149885,-11.137661,21.151783
3gop,EGFR,inactive,train,1.5008005,1.0778784,19.959564,6.4203815
3gqi,FGFR1,active,train,-2.4539242,0.8520633,-8.501219,17.310455
3gql,FGFR1,active,train,-2.3462958,1.4280437,-6.7896914,23.523094
3gt8,EGFR,inactive,train,-0.7328033,-1.4283553,11.660088,-19.117823
3idp,BRAF,inactive,train,-0.137375,-0.49230877,8.772878,3.812989
3ii5,BRAF,inactive,train,0.045114815,-0.9969915,-13.336765,-0.5608748
3js2,FGFR1,active,train,-1.3959502,0.93323344,-8.811457,23.416527
3kxx,FGFR1,active,train,0.5526342,1.4030092,-19.27942,23.280775
3ky2,FGFR1,active,train,-1.2566259,1.085672,-9.410141,24.814112
3l9p,ALK,active,train,-1.151627,1.9705172,-4.252518,14.192664
3lcs,ALK,active,train,-1.9804956,2.381908,-4.8558993,15.390374
3lct,ALK,active,train,-1.7418818,1.9942659,-4.1600842,14.46174
3lzb,EGFR,inactive,train,-1.8975016,-0.6393276,11.694413,0.9827725
3nup,CDK6,inactive,train,0.3734591,0.51409113,8.594115,5.493659
3nux,CDK6,inactive,train,0.62411034,-0.34745136,-10.612261,-2.9809783
3poz,EGFR,inactive,train,0.9517523,1.8644253,-6.159784,8.62361
3pp0,ERBB2,active,train,1.2636759,-1.7744194,-6.9966073,-24.123856
3ppj,BRAF,active,train,0.9560395,-0.55066764,-17.195404,-5.3562956
3ppk,BRAF,active,train,0.78844196,-0.6736626,-16.98132,-5.0482016
3prf,BRAF,active,train,0.81334627,-0.38389346,-7.2543926,-6.9917493
3pri,BRAF,active,train,1.3403133,-0.77734804,-16.567781,-6.0946274
3psb,BRAF,active,train,0.959542,-0.55482,-17.329693,-5.331019
3psd,BRAF,active,train,0.83203226,-0.650996,-17.332977,-5.4950147
3pyy,ABL1,inactive,train,-0.22234112,3.2249367,10.226852,9.195902
3q4c,BRAF,active,train,0.8603055,-0.6711894,-16.463327,-5.286572
3q96,BRAF,inactive,train,0.8633803,-1.3655446,-14.630307,-5.880876
3qri,ABL1,inactive,train,-1.53428,1.7798971,-2.1209943,17.52558
3qrj,ABL1,inactive,train,-1.3789955,1.6725652,-0.31929958,15.093617
3qrk,ABL1,inactive,train,-2.1542273,1.5840857,0.977466,15.7457905
3rhx,FGFR1,active,train,-0.39189413,1.045825,-11.049744,23.949076
3skc,BRAF,inactive,train,0.20913646,-0.537982,-8.766497,0.0039322325
3tt0,FGFR1,active,train,-1.9414321,1.6400845,-8.955388,15.837357
3tv4,BRAF,inactive,train,0.21645126,-0.543266,-8.6937895,0.43428883
3tv6,BRAF,inactive,train,0.13657057,-0.5276615,-8.929807,0.11367733
3ue4,ABL1,inactive,train,0.21234027,0.842879,-14.088192,23.470827
3ug1,EGFR,active,train,0.5208469,-1.762404,-4.0825176,-25.481636
3ug2,EGFR,active,train,0.27548617,-1.778628,-3.042849,-29.892221
3vjn,EGFR,active,train,0.1002557,-1.9737401,-4.760499,-30.638937
3vjo,EGFR,active,train,0.3156063,-1.7888238,-5.2621994,-17.199337
3w2o,EGFR,active,train,0.08521718,-1.7785378,-4.923302,-18.431942
3w2p,EGFR,active,train,-0.043768905,-1.727899,-2.9508855,-16.013546
3w2q,EGFR,active,train,0.21714744,-1.7880008,-3.072357,-30.914543
3w2r,EGFR,inactive,train,-0.8312274,-1.2527494,13.592433,-13.214545
3w2s,EGFR,inactive,train,-0.3756852,-1.3769298,10.4513645,-15.479502
3w32,EGFR,inactive,train,-1.2130812,-1.4090276,12.608081,-14.970844
3w33,EGFR,inactive,train,-0.44033226,-1.3181258,11.049728,-15.481228
3wj6,FGFR1,active,train,-1.5193238,1.0775422,-8.517919,23.165363
4anl,ALK,active,train,-0.5361952,0.7493168,-21.651817,14.181723
4anq,ALK,active,train,-0.44571856,0.68831086,-18.107044,11.999256
4ans,ALK,active,train,-0.53882813,0.72393656,-21.657402,14.213514
4aua,CDK6,inactive,train,1.010068,-0.21365528,-10.055719,-3.3429458
4ccb,ALK,active,train,0.08078041,0.9863432,-16.825176,12.32947
4ccu,ALK,active,train,-0.55252504,0.12029144,-19.02019,10.557995
4cd0,ALK,active,train,-0.32162175,1.0848696,-17.411484,12.850596
4cli,ALK,active,train,-0.28902116,0.9017193,-17.535318,12.393593
4clj,ALK,active,train,-0.35923344,1.105844,-17.295902,13.03724
4cmo,ALK,active,train,-0.35352007,0.9213009,-17.910158,12.526397
4cmt,ALK,active,train,-0.14978269,0.29357684,-22.60403,13.316398
4cmu,ALK,active,train,-0.39591113,1.0124134,-22.495253,15.761468
4cnh,ALK,active,train,-1.0605696,-0.31335306,-18.561916,7.837352
4cqe,BRAF,inactive,train,-0.91760844,0.6791469,12.235759,5.9277678
4ctb,ALK,active,train,-0.52788526,0.29504487,-18.6167,11.024482
4ctc,ALK,active,train,-0.6504605,-0.11761236,-19.326752,9.881484
4dbn,BRAF,inactive,train,0.75082004,-0.5088386,-14.932106,-4.6637745
4dce,ALK,active,train,-1.2028166,2.8461812,11.269623,9.639998
4e26,BRAF,active,train,1.5318805,-0.99187016,1.3862256,-4.928311
4e4x,BRAF,inactive,train,0.11573602,-0.54931635,-9.15267,-0.1588675
4ehe,BRAF,inactive,train,0.6691939,-0.8879266,-13.781371,-3.57157
4ehg,BRAF,inactive,train,-0.011213869,0.03358401,8.464712,5.047856
4ez5,CDK6,inactive,train,0.9177119,-0.12502709,-7.799523,-5.731531
4f63,FGFR1,active,train,-1.1848986,0.9824887,-9.700916,24.375593
4f64,FGFR1,active,train,-0.72662145,0.41470733,-10.077763,22.521395
4fc0,BRAF,inactive,train,-0.38418236,0.69043756,10.152733,6.446347
4fnw,ALK,active,train,-0.86028147,0.45337787,-19.188105,11.562655
4fnx,ALK,active,train,-2.2170904,0.391894,-21.373053,12.308383
4fnz,ALK,active,train,-1.536927,2.4908788,11.232029,9.664805
4fob,ALK,active,train,0.5096952,1.6789082,-21.054398,16.345179
4foc,ALK,active,train,-0.6727127,1.2589802,-17.980568,13.570348
4fod,ALK,active,train,-0.47294,1.1107289,-17.693705,13.370094
4g5j,EGFR,active,train,-0.23973802,-1.954903,-7.829872,-32.372543
4g9c,BRAF,inactive,train,0.569039,-0.44591266,-7.199365,-6.542692
4g9r,BRAF,inactive,train,1.0079626,-0.18777059,-13.147948,-4.6341834
4hjo,EGFR,inactive,train,1.2489682,1.8276049,-6.121511,8.642168
4i1z,EGFR,inactive,train,0.4184003,-1.8874865,-11.580186,-27.344213
4i20,EGFR,inactive,train,0.38302332,-1.8955177,-11.5731735,-27.328451
4i21,EGFR,inactive,train,0.90251416,-2.0332215,2.5216432,-6.054816
4i22,EGFR,inactive,train,-0.19247523,-1.3126746,10.428367,-20.679625
4i23,EGFR,active,train,0.31704113,-1.9236518,-6.2043514,-29.414463
4i24,EGFR,inactive,train,-0.21190453,-1.5082622,4.312403,-6.968817
4joa,ALK,active,train,0.7372335,0.053160902,-23.2661,12.591441
4jq7,EGFR,active,train,0.41173634,-1.832888,-5.78398,-17.339682
4jq8,EGFR,active,train,0.45432192,-1.8551792,-5.5877438,-26.85744
4jr3,EGFR,active,train,0.36754704,-1.9038857,-5.3934426,-28.087875
4jrv,EGFR,active,train,0.36538285,-1.7589473,-2.760836,-15.393959
4jvg,BRAF,inactive,train,-0.37795806,-0.4120602,-13.929077,-0.1268907
4ksp,BRAF,inactive,train,0.60384077,0.21143495,6.8820662,4.2533054
4ksq,BRAF,inactive,train,0.1771442,0.19676143,7.571552,4.681766
4li5,EGFR,active,train,0.42298535,-1.8766268,-7.194951,-26.654737
4ll0,EGFR,active,train,-0.9164287,-1.4514863,3.505114,-15.495211
4lqm,EGFR,active,train,0.37818503,-1.7308936,0.86222404,-25.8757
4lrm,EGFR,active,train,0.24635303,-2.0949514,-8.446113,-29.179405
4mbj,BRAF,inactive,train,1.3217758,-0.66047573,-13.610024,-3.987533
4mkc,ALK,active,train,-1.2172048,1.6038039,-4.572476,14.061366
4mne,BRAF,active,train,0.62641853,-1.2125229,-17.953165,-5.0910773
4mnf,BRAF,active,train,0.8635303,-1.0725353,-17.827671,-4.9396243
4nk9,FGFR1,active,train,-1.1780587,2.8341072,10.004438,9.971503
4nks,FGFR1,active,train,-1.3587646,1.0196528,-10.49728,26.687935
4pp7,BRAF,inactive,train,1.0576314,-0.7598576,-13.233541,-3.430276
4r3p,EGFR,active,train,-0.10308655,-1.9971642,-3.402142,-15.929012
4r3r,EGFR,active,train,-0.01881968,-2.084349,-4.493966,-32.175526
4r5s,EGFR,active,train,-0.45791978,-1.594112,4.125003,-27.737244
4r5y,BRAF,inactive,train,-0.23652723,-0.11991987,9.36552,4.971546
4riw,EGFR,active,train,0.53093266,-1.817523,-6.271071,-17.048725
4rix,EGFR,active,train,0.5738816,-1.8499044,-6.269012,-25.335707
4riy,EGFR,active,train,0.45092583,-1.9498361,-5.868046,-25.385405
4rj4,EGFR,active,train,-0.7585703,-1.2809482,3.7905407,-15.815636
4rj5,EGFR,active,train,-1.1799289,-1.2571636,15.874462,-21.621702
4rj6,EGFR,active,train,-0.7494668,-1.3296143,13.596411,-23.255453
4rj7,EGFR,active,train,-0.79442775,-1.2306169,4.290713,-15.902796
4rj8,EGFR,active,train,-0.7724931,-1.3132672,13.859357,-22.060692
4rwi,FGFR1,active,train,-0.9159055,1.2328126,-11.218431,26.785534
4rwj,FGFR1,active,train,-1.909729,0.7659673,-7.926273,24.255278
4rwk,FGFR1,active,train,-1.2632358,1.0294197,-9.128271,23.83129
4rwl,FGFR1,active,train,-0.8764698,0.8942636,-9.60189,16.149088
4rzv,BRAF,inactive,train,0.67966604,-1.4522098,-8.240118,-6.6800966
4rzw,BRAF,inactive,train,-0.6958761,1.0598384,11.8611145,6.537966
4tks,EGFR,active,train,0.08268761,-1.9820812,-4.4160233,-29.780344
4tt7,ALK,active,train,0.36825523,0.38965002,-16.45254,11.015144
4tth,CDK6,active,train,1.9604193,-0.5511941,-12.1088915,-8.945227
4twp,ABL1,active,train,0.8562996,1.1011196,-15.904701,22.051634
4uwb,FGFR1,active,train,-2.6193836,1.0315907,-6.304557,24.153612
4uwc,FGFR1,active,train,-1.7928318,1.0207239,-8.273598,24.353664
4uwy,FGFR1,active,train,-2.0143704,1.1903037,-9.369275,26.997799
4v05,FGFR1,active,train,-0.8864965,1.1630713,-11.252201,27.025179
4wa9,ABL1,inactive,train,0.6200631,0.8616196,-15.084556,22.195688
4wkq,EGFR,active,train,0.18441051,-1.8131455,-7.738954,-27.520636
4wo5,BRAF,inactive,train,0.15310982,-1.2917691,-5.5129375,-6.8818984
4wrg,EGFR,active,train,-0.07890149,-1.812831,-7.104347,-32.138115
4wun,FGFR1,active,train,-3.2389934,1.7386057,6.3746357,13.525498
4xey,ABL1,inactive,train,-0.7588799,-0.3868063,-13.50865,17.873297
4xv2,BRAF,inactive,train,-0.42853203,0.6732594,9.654578,5.799721
4xv9,BRAF,inactive,train,1.2246511,-0.7005688,1.2191633,-4.7392144
4yc8,ABL1,inactive,train,0.012084163,-0.24380532,-13.6819935,18.352217
4yht,BRAF,active,train,1.5719498,-1.2173567,-16.45574,-6.705027
4z55,ALK,active,train,0.541042,1.3672607,-15.674756,11.577652
4zau,EGFR,active,train,0.27020943,-1.3069415,-2.0484958,-14.802857
4zjv,EGFR,inactive,train,1.1123283,-1.7319947,-7.935638,-15.059948
4zog,ABL1,inactive,train,0.52407265,1.151514,-14.033489,24.050339
4zsa,FGFR1,active,train,-0.6394759,1.971148,7.032162,10.403244
4zse,EGFR,inactive,train,-0.896046,-1.3889617,12.996534,-18.267948
5a46,FGFR1,active,train,-1.255789,1.041058,-9.704823,24.513718
5a4c,FGFR1,active,train,-0.8848436,1.0817482,-11.385427,26.767776
5a9u,ALK,active,train,-0.30390275,0.04832326,-18.312874,10.227108
5aa8,ALK,active,train,-0.37138563,0.06678961,-22.418922,13.375231
5aa9,ALK,active,train,-0.16489428,0.76382375,-17.238474,11.983216
5aaa,ALK,active,train,-0.3573442,0.809721,-21.672737,14.454975
5aab,ALK,active,train,-0.3176804,0.41755977,-22.135452,13.768901
5aac,ALK,active,train,-0.39804125,0.055121135,-18.42056,10.313536
5am6,FGFR1,active,train,-1.2891804,1.1878202,-8.934928,24.684757
5am7,FGFR1,active,train,-1.2033168,1.0713565,-10.518398,26.940027
5b7v,FGFR1,active,train,-1.1147258,1.0897382,-10.816887,27.215925
5c8k,EGFR,active,train,-0.9038689,-1.2439986,15.037904,-22.102186
5c8m,EGFR,active,train,-0.71042204,-1.2695115,14.412607,-22.112528
5c8n,EGFR,active,train,-0.8513421,-1.3734257,14.183657,-21.354055
5c9c,BRAF,inactive,train,0.10800488,-0.41549352,7.539123,4.357623
5cal,EGFR,active,train,-1.0000381,-1.1974125,4.352986,-15.513415
5can,EGFR,active,train,-0.78376955,-1.2211642,4.2033954,-15.796014
5cao,EGFR,active,train,-1.3846499,-1.2985775,15.967867,-20.473558
5cap,EGFR,active,train,-1.1219618,-1.2836903,15.309697,-20.635845
5caq,EGFR,active,train,-0.88291186,-1.289816,14.279587,-22.141834
5cas,EGFR,active,train,-0.73894966,-1.2785687,3.9193985,-16.255249
5cau,EGFR,active,train,-0.73260206,-1.2961025,13.75776,-22.30323
5cav,EGFR,active,train,0.54095054,-1.935016,-6.5950246,-28.18609
5cnn,EGFR,inactive,train,-0.5807294,-1.270019,0.57994044,-14.420336
5cno,EGFR,inactive,train,-0.13019374,-1.3056254,10.073004,-20.185255
5csw,BRAF,inactive,train,-0.92095745,0.3297592,11.241548,6.1602197
5csx,BRAF,inactive,train,0.9660063,-0.27593395,-11.800184,-4.652935
5ct7,BRAF,inactive,train,0.08170419,0.35700914,12.076002,6.6704183
5czh,EGFR,active,train,0.35148376,-1.9105247,-3.618122,-31.168497
5czi,EGFR,active,train,-0.0026274454,-1.8695524,-4.7539372,-18.296404
5d41,EGFR,inactive,train,-1.6043814,-0.5289586,12.612892,1.6922853
5edp,EGFR,active,train,-1.4171813,-1.3632925,16.177647,-19.87293
5edq,EGFR,active,train,-1.5040741,-1.2623742,4.2056355,-14.160252
5edr,EGFR,active,train,-1.613381,-1.2808708,16.365152,-19.514618
5em5,EGFR,active,train,-1.7381957,-1.3133428,2.7782624,-13.957166
5em6,EGFR,active,train,-0.49425155,-1.3116488,12.594728,-23.366627
5em7,EGFR,active,train,-0.6206928,-1.328329,3.5455375,-16.043087
5em8,EGFR,active,train,0.16463014,-1.8771297,-1.8702314,-28.258305
5ew8,FGFR1,active,train,-0.7436371,1.4324254,-11.715096,27.340868
5fd2,BRAF,inactive,train,0.94998693,-0.69913214,-13.215963,-3.3563998
5fed,EGFR,active,train,-0.24060953,-1.674425,3.3814716,-26.97251
5fee,EGFR,active,train,-0.28922367,-1.5499871,6.9805493,-24.565342
5feq,EGFR,active,train,0.6558657,-1.6318123,-3.6513133,-24.741974
5flf,FGFR1,active,train,0.032605797,1.3423777,-18.811014,23.392242
5fto,ALK,active,train,-1.1505271,2.0473127,-22.895267,16.377369
5ftq,ALK,active,train,-0.5593366,1.265137,-22.76941,15.929087
5fwl,CDK4,inactive,train,-17.560478,0.85181177,1.097832,7.8616385
5fwm,CDK4,inactive,train,-17.228146,0.5986482,1.0981575,7.8613777
5gmp,EGFR,active,train,-0.64204675,-1.6431522,4.260007,-28.300241
5gnk,EGFR,active,train,-0.9606282,-1.3569858,12.634551,-16.336248
5gty,EGFR,inactive,train,-1.1722692,-1.4179873,13.554342,-18.712631
5gtz,EGFR,active,train,0.17950565,-1.732979,1.214094,-27.013266
5hcx,EGFR,active,train,-0.6670357,-1.332068,13.029055,-22.31011
5hcy,EGFR,active,train,-0.61582166,-1.3052448,12.765935,-22.694296
5hcz,EGFR,active,train,-0.84214747,-1.389792,13.36054,-22.53095
5hg5,EGFR,inactive,train,-0.08286945,-2.0614479,-12.618916,-28.439564
5hg7,EGFR,inactive,train,-0.35338196,-2.0612125,-12.792273,-29.10034
5hg8,EGFR,inactive,train,-0.0045644874,-2.0231948,-12.475702,-28.457523
5hg9,EGFR,inactive,train,-0.088180505,-2.0698066,2.7264893,-6.211035
5hi2,BRAF,inactive,train,-0.11225593,-0.18128051,7.5470634,4.5946407
5hib,EGFR,active,train,0.26345766,-1.6299355,2.3917577,-24.705101
5hic,EGFR,active,train,-0.7031419,-1.3421428,13.062375,-22.887777
5hid,BRAF,inactive,train,0.38718286,-0.61495334,-6.5689683,-6.266712
5hie,BRAF,inactive,train,0.4309108,0.33018836,12.2161255,6.4622827
5hu9,ABL1,inactive,train,-0.52321255,1.5485027,-11.5375805,19.74705
5imx,ALK,active,train,-0.94083005,1.3240356,-10.499084,12.96619
5iug,ALK,inactive,train,-1.253729,0.32375404,-20.36034,9.4994135
5iuh,ALK,inactive,train,-1.5127872,0.21260677,-10.214283,13.118625
5iui,ALK,active,train,-0.6472974,1.690041,-21.084335,15.472303
5j7h,ALK,active,train,-1.4698944,1.1786157,-18.86577,13.69145
5j9y,EGFR,active,train,-0.009513637,-1.6916653,2.9806566,-26.497658
5j9z,EGFR,active,train,-0.9885072,-1.3632567,15.102392,-20.904978
5jeb,EGFR,active,train,0.46203867,-1.9265256,-5.9734674,-24.747913
5jrq,BRAF,inactive,train,0.5992809,-0.8778693,-12.556577,-2.354094
5jsm,BRAF,inactive,train,0.31957185,-0.5900257,-13.069689,-2.43149
5jt2,BRAF,inactive,train,-0.11297792,-0.33533874,-9.007583,-5.848692
5kz0,ALK,active,train,-0.6745086,0.7597779,-18.769,12.375866
5l2i,CDK6,inactive,train,0.7906054,0.70839924,8.617348,5.721616
5l2s,CDK6,inactive,train,0.81347907,-0.21351536,-10.393483,-2.9234219
5l2t,CDK6,inactive,train,0.6115273,-0.31643805,-10.262571,-2.366572
5o49,FGFR1,active,train,-1.2068964,1.841945,7.128493,10.615797
5o4a,FGFR1,active,train,-2.0274706,1.8544686,6.9862423,10.97378
5u8l,EGFR,inactive,train,-0.158524,-2.0768056,-13.109038,-28.503517
5ug8,EGFR,inactive,train,-0.2962189,-1.9780926,-12.636829,-29.052578
5ug9,EGFR,inactive,train,-0.31595108,-1.9745423,-12.672137,-29.04844
5uga,EGFR,inactive,train,-0.032145612,-1.9840021,-12.564162,-28.442524
5ugb,EGFR,active,train,0.3064505,-1.7951865,-2.9863048,-15.375541
5ugc,EGFR,inactive,train,-0.228378,-1.9842988,-12.42053,-28.974064
5uq0,FGFR1,active,train,-1.72075,1.747672,7.8747034,9.5762
5ur1,FGFR1,active,train,-2.7196085,1.82714,4.8038397,13.053141
5uwd,EGFR,inactive,train,-0.9271322,-1.4715073,15.402367,-12.666235
5val,BRAF,inactive,train,-1.1792585,1.1650567,8.732784,7.9627056
5vam,BRAF,inactive,train,0.54294807,-0.9231222,0.92562556,-4.368431
5vnd,FGFR1,active,train,-3.0982952,1.0121539,-6.0514464,24.01867
5x26,EGFR,active,train,-0.45509163,-1.7311337,-3.9271338,-17.783783
5x27,EGFR,active,train,-0.4189776,-1.7899898,2.8619783,-27.941277
5x28,EGFR,active,train,-0.40189517,-1.7655,2.9788504,-27.882046
5x2a,EGFR,inactive,train,-0.8495803,-1.3919588,11.767468,-17.672102
5x2c,EGFR,inactive,train,-0.4206315,-1.3709505,10.882701,-19.927004
5x2f,EGFR,inactive,train,-0.80023676,-1.5647038,4.8043575,-7.2417445
5x2k,EGFR,active,train,0.27384537,-1.7827946,-5.397435,-18.12367
5xdk,EGFR,active,train,0.12731463,-1.9768932,-4.423234,-31.318914
5xdl,EGFR,active,train,-0.8833903,-1.3597115,14.256809,-21.141254
5xgm,EGFR,active,train,-1.3581146,-0.50753844,13.203731,2.1438007
5y25,EGFR,active,train,-1.5717796,-1.4056937,16.345915,-20.449762
5y9t,EGFR,active,train,0.61980796,-1.7226295,-7.1391687,-17.330975
5yu9,EGFR,inactive,train,-0.93646157,-1.3901056,12.549895,-20.00524
5z0s,FGFR1,active,train,-0.54869884,0.8219584,-9.708268,16.176514
5zto,EGFR,active,train,-1.7354571,-0.92731184,4.750333,-13.841974
5zv2,FGFR1,active,train,-0.7504511,1.1270764,-10.326551,23.27039
5zwj,EGFR,inactive,train,-1.6856954,-0.74373657,13.130585,1.7278601
6b8u,BRAF,inactive,train,0.28932488,-0.8605893,-6.5430994,-6.0949407
6bl8,ABL1,inactive,train,-0.17369354,0.7761467,-14.303524,26.254604
6c19,FGFR1,active,train,-3.02123,1.8862773,5.476898,12.336927
6c1b,FGFR1,active,train,-2.5089521,1.7284441,4.8910403,12.969571
6c1c,FGFR1,active,train,-2.917562,1.6876991,4.770919,13.094827
6c1o,FGFR1,active,train,-2.4311903,2.161677,6.328213,12.475839
6cdt,ALK,active,train,-0.35656983,0.708652,-18.038265,11.772199
6d8e,EGFR,active,train,-0.09464113,-1.7905636,-1.7787403,-30.178186
6duk,EGFR,inactive,train,-1.2405069,-1.2371219,13.999261,-14.34669
6e0r,ALK,active,train,-0.95735633,0.6183808,-10.611078,12.676805
6ebw,ALK,active,train,-1.1252311,1.4672453,-20.650084,14.67261
6itj,FGFR1,active,train,-1.9108034,0.9112101,-7.9133945,24.495487
6jrj,EGFR,active,train,-0.54850143,-1.3409806,13.521412,-24.851059
6jrk,EGFR,active,train,-0.947733,-0.9897824,4.9765625,-15.961847
6jrx,EGFR,active,train,0.07104565,-1.6836017,-2.0919633,-15.786585
6jwl,EGFR,active,train,0.20417005,-1.757207,0.93065006,-26.991905
6jx0,EGFR,active,train,-0.18958873,-1.6934004,4.9829764,-24.223866
6jx4,EGFR,active,train,0.038526744,-1.7348777,1.2874074,-27.598473
6jxt,EGFR,inactive,train,0.70149857,-1.6480764,-7.3042483,-15.332903
6jz0,EGFR,active,train,0.45425034,-1.9121104,-6.029748,-28.122187
6lub,EGFR,active,train,0.12632383,-2.021129,-4.9574924,-29.259552
6lud,EGFR,active,train,0.36439168,-1.8721823,-4.583215,-28.188265
6mx8,ALK,active,train,-1.0598159,0.4901681,-21.484125,13.1990385
6mzq,FGFR1,active,train,-2.2427552,2.8976722,8.94999,9.832845
